,id,created_at,full_text,Station1,Station1_Index,Station2,Station2_Index,Line1,Line2
1282,6.59E+17,27/10/2015,[NSL]: Estimate 10 mins additional travelling time from #MarinaBay to #AngMoKio towards JurongEast due to a train fault.,jurong east,NS1,marina bay,NS27,NSL,NA
1284,6.59E+17,27/10/2015,[NSL]: Longer travelling time expected along NS line in the direction towards JurongEast due to a train fault at Orchard station.,jurong east,NS1,orchard,NS22,NSL,NA
1290,6.58E+17,25/10/2015,Please estimate additional 20mins traveling time between Tanah Merah and Changi Airport on both bounds due to track fault.,changi airport,CG2,tanah merah,EW4,CGL,NA
1295,6.57E+17,22/10/2015,[CCL]: Estimate 15 mins additional travelling time between #Mounbatten to #PayaLebar due to train fault. Free Bus services provided.,paya lebar,EW8,NA,NA,CCL,NA
1305,6.54E+17,15/10/2015,Estimate 20 mins additional travelling time from Clementi to Queenstown towards PasirRis due to train fault. Train service is still running.,clementi,EW23,pasir ris,EW1,EWL,NA
1318,6.52E+17,9/10/2015,[EWL]:Estimate 15 mins additional travelling time from #OutramPark  to #JurongEast towards JooKoon due to train fault.Service still running.,jurong east,NS1,outram park,EW16,EWL,NA
1322,6.51E+17,5/10/2015,[EWL] A train fault has been reported at #Pioneer Eastbound. Trains will be travelling at a slower speed towards #PasirRis.,pasir ris,EW1,pioneer,EW28,EWL,NA
1324,6.51E+17,4/10/2015,"[NSL]: Due to a track fault, there will be an estimated 5 mins additional travelling time from Ang Mo Kio to Khatib towards Jurong East.",jurong east,NS1,khatib,NS14,NSL,NA
1333,6.49E+17,30/9/2015,[EWL]: Estimate 20 mins additional travelling time from #TanahMerah to #ChangiAirport towards ChangiAirport due to track fault.,changi airport,CG2,tanah merah,EW4,EWL,NA
1334,6.49E+17,30/9/2015,[EWL] A track fault has been reported at #ChangiAirport. Train will be travelling slower towards #ChangiAirport .,changi airport,CG2,NA,NA,EWL,NA
1337,6.48E+17,27/9/2015,[NSL] Expect additional 5mins travelling time from #BukitGombak to #JurongEast due to a train fault at #BukitGombak.,jurong east,NS1,bukit gombak,NS3,NSL,NA
1352,6.46E+17,22/9/2015,"Due to a faulty train at YISHUN North Bound , train service towards Jurong will be delayed for 25 mins.",yishun,NS13,NA,NA,NSL,NA
1446,6.32E+17,13/8/2015,[NSL]: Estimate 15 mins additional travelling time from #MarinaBay to #AngMoKio towards JurongEast due to track fault near Bishan station.,jurong east,NS1,marina bay,NS27,NSL,NA
1450,6.32E+17,12/8/2015,[NSL]: Estimate 10 mins additional travelling time between #AngMoKio and #Yishun due to track fault.,yishun,NS13,ang mo kio,NS16,NSL,NA
1456,6.30E+17,7/8/2015,"Due to a train fault near Tanah Merah, please expect additional travelling time of 15mins from Pasir Ris to Eunos Westbound.",eunos,EW7,pasir ris,EW1,EWL,NA
1463,6.24E+17,23/7/2015,[EWL]: Estimate 20 mins additional travelling time from #Clementi  to #JooKoon towards JooKoon due to train fault.,clementi,EW23,joo koon,EW29,EWL,NA
1529,6.18E+17,7/7/2015,We are still investigating the cause of the power fault and are doing our best to restore service on the North South lines.,jurong east,NS1,marina south pier,NS28,NA,NA
1560,6.17E+17,3/7/2015,[NSL] UPDATE : Estimate 15 mins additional travelling time from #ChoaChuKang to #Admiralty towards MarinaBay due to track fault.,admiralty,NS10,marina bay,NS27,NSL,NA
1571,6.17E+17,2/7/2015,[NSL]: Estimate 15 mins additional travelling time from #ChoaChuKang to #Admiralty towards Marina South Pier due to track fault.,admiralty,NS10,marina south pier,NS28,NSL,NA
1594,6.10E+17,15/6/2015,"Due to train fault at Marina Bay station, there is no train service between MRB and MSP.Train service between MRB and JUR running normally.",marina bay,NS27,NA,NA,NSL,NA
1602,5.99E+17,15/5/2015,[NSL] Estimate 20 mins additional traveling time from #Yishun to #ToaPayoh towards #MarinaBay due to train fault near #Bishan.,toa payoh,NS19,marina bay,NS27,NSL,NA
1620,5.93E+17,28/4/2015,[BPLRT]:   Est. 15 mins add. travelling time from #Pending to #Bangkit due to train fault. Free public and shuttle bus are still available.,pending,BP8,bangkit,BP9,BPL,NA
1623,5.93E+17,28/4/2015,"[BPLRT]  UPDATE: Due to power fault, there is no train service on the BPLRT. Free Public and Shuttle Bus are available.",choa chu kang,BP1,fajar,BP10,BPL,NA
1625,5.93E+17,28/4/2015,[BPLRT]:   Estimate 20 mins additional travelling time from #Phoenix to #BukitPanjang due to power fault.,phoenix,BP5,bukit panjang,DT1,BPL,NA
1629,5.88E+17,15/4/2015,[NSL] Expect additional 10mins travelling time from #Yishun to #JurongEast due to a track fault near #Kranji.,jurong east,NS1,yishun,NS13,NSL,NA
1634,5.83E+17,30/3/2015,"[BPLRT]: Due to train fault, BPLRT is running on Service B only.",choa chu kang,BP1,fajar,BP10,BPL,NA
1645,5.81E+17,27/3/2015,[EWL]: Estimate 20 mins additional travelling time from #Bugis to #Aljunied towards PasirRis due to train fault.,pasir ris,EW1,aljunied,EW9,EWL,NA
1656,5.80E+17,23/3/2015,"Due to earlier track fault at Pasir Ris, please estimate10mins additional traveling time from Tampines to Pasir Ris on both bounds.",pasir ris,EW1,tampines,EW2,EWL,NA
1666,5.78E+17,18/3/2015,[NSL] There will be an estimated 15 mins delay from Yew Tee to Kranji on the south bound towards Marina Bay due to a track fault.,marina bay,NS27,yew tee,NS5,NSL,NA
1713,5.73E+17,3/3/2015,Trains will be slower between #Queenstown to #BoonLay due to track fault near #Clementi. Free bus services available between both stations.,clementi,EW23,queenstown,EW19,EWL,NA
1715,5.73E+17,3/3/2015,[EWL]: Estimate 15 mins additional travelling time from #Queenstown to #BoonLay in both directions due to track fault.,queenstown,EW19,boon lay,EW27,EWL,NA
1716,5.73E+17,3/3/2015,[EWL]: Estimate 15 mins additional travelling time from #Queenstown  to #BoonLay towards Joo Koon due to track fault.,joo koon,EW29,queenstown,EW19,EWL,NA
1718,5.73E+17,3/3/2015,[EWL]: Estimate 20 mins additional travelling time from #TanjongPagar to #JurongEast towards JooKoon due to track fault.,jurong east,NS1,tanjong pagar,EW15,EWL,NA
1764,5.70E+17,23/2/2015,[NSL] UPDATE: No train service from #YewTee to #Kranji towards MarinaBay due to track fault.,marina bay,NS27,yew tee,NS5,NSL,NA
1768,5.68E+17,17/2/2015,"[UPDATE] Due to a train fault at Jurong East, there will be no train service from Lakeside to Clementi on the East bound towards Pasir Ris.",clementi,EW23,jurong east,NS1,EWL,NA
1770,5.68E+17,17/2/2015,"Due to a train fault at Jurong East, there will be 20 min delay from Joo Koon to Jurong East  on the East bound line towards Pasir Ris.",jurong east,NS1,pasir ris,EW1,NSL,NA
1781,5.62E+17,2/2/2015,[NSL]: Estimate 20 mins additional travelling time from #Marina South Pier to #RafflesPlace towards JurongEast due to train fault.,jurong east,NS1,marina south pier,NS28,NSL,NA
1785,5.61E+17,30/1/2015,Fault cleared. Expect longer travel time from #Woodlands towards #YioChuKang. Free bus available. Our engineers are rectifying fault now.,yio chu kang,NS15,woodlands,NS9,NSL,NA
1788,5.61E+17,30/1/2015,[NSL]: Estimate 20 mins additional travelling time from #Sembawang to #YioChuKang towards MarinaBay due to track fault.,marina bay,NS27,sembawang,NS11,NSL,NA
1790,5.58E+17,22/1/2015,"Due to track fault, there will be additional 10mins traveling time from Bishan to Ang Mo Kio.",ang mo kio,NS16,bishan,NS17,NSL,NA
1793,5.57E+17,19/1/2015,Trains service delay for 20mins from Admiralty to Yishun on southbound. Free bus service is available between Admiralty and Yishun.,admiralty,NS10,yishun,NS13,NSL,NA
1798,5.47E+17,23/12/2014,[CCL]: Estimate 10 mins additional travelling time from #Serangoon to #BuonaVista towards #HarbourFront due to power fault.,harbourfront,NE1,buona vista,EW21,CCL,NA
1802,5.43E+17,10/12/2014,[EWL]: Estimate 20 mins additional travelling time from #JooKoon to #JurongEast in both directions due to a train fault at Joo Koon.,jurong east,NS1,joo koon,EW29,EWL,NA
1808,5.33E+17,13/11/2014,[CCL] UPDATE: Estimate 15 mins additional travelling time between #Stadium and #DhobyGhaut due to train fault.,stadium,CC6,dhoby ghaut,NS24,CCL,NA
1809,5.33E+17,13/11/2014,[CCL]: Estimate 20 mins additional travelling time from #PayaLebar to #DhobyGhaut towards #DhobyGhaut due to train fault.,paya lebar,EW8,dhoby ghaut,NS24,CCL,NA
1811,5.30E+17,4/11/2014,[CCL]: Estimate 15 mins additional travelling time between #KentRidge and #HarbourFront in both directions due to power fault.,kent ridge,CC24,harbourfront,NE1,CCL,NA
1814,5.28E+17,31/10/2014,"Estimate 15 minutes additional traveling time between Kranji and Admiralty on both bounds due to track fault, possibly due to lightning.",admiralty,NS10,kranji,NS7,NSL,NA
1824,5.16E+17,29/9/2014,[NSL] UPDATE: Estimate 10mins additional travelling time from YioChuKang to MarinaBay towards Marina Bay due to train fault.,marina bay,NS27,yio chu kang,NS15,NSL,NA
1829,5.14E+17,23/9/2014,Trains are travelling slower from Marina Bay to Bishan north bound due to an earlier train fault.,marina bay,NS27,bishan,NS17,NSL,NA
1833,5.14E+17,23/9/2014,"Due to train fault at Somerset station, free bus and free bus bridging service is available between Marina Bay and Newton both bounds.",marina bay,NS27,newton,NS21,NSL,NA
1840,5.13E+17,19/9/2014,[EWL]:Estimate 10 mins additional travelling time from #OutramPark to #JooKoon due to train fault.We are working to recover the service.,outram park,EW16,joo koon,EW29,EWL,NA
1846,5.11E+17,13/9/2014,UPDATE: [NSL] Estimate 20 mins additional travelling time between Marina Bay and Newton due to track fault.,marina bay,NS27,newton,NS21,NSL,NA
1851,5.06E+17,1/9/2014,"UPDATE : [NSL] Due to a train fault near Novena, please expect additional traveling time of 30 mins from Tao Payoh to Newton.",novena,NS20,newton,NS21,NSL,NA
1852,5.06E+17,1/9/2014,[NSL]: Estimate 30 mins additional travelling time from #ToaPayoh to #Marina Bay towards MarinaBay due to train fault.,toa payoh,NS19,marina bay,NS27,NSL,NA
1856,4.93E+17,26/7/2014,[EWL] UPDATE: Estimate 20 mins additional travel time from OutramPark towards Kallang due to rail defect. We are working to recover service.,outram park,EW16,kallang,EW10,EWL,NA
1867,4.92E+17,23/7/2014,[NSL]UPDATE: Estimate 40mins additional travelling time from #ToaPayoh to #Newton towards MarinaBay due to train fault.,toa payoh,NS19,marina bay,NS27,NSL,NA
1872,4.90E+17,18/7/2014,"Due to a train fault near City Hall, please expect 15 mins additional traveling time from City Hall to Outram Park towards Joo Koon.",joo koon,EW29,outram park,EW16,EWL,NA
1875,4.90E+17,17/7/2014,[EWL]: Estimate 20 mins additional travelling time from #Tampines to #PasirRis due to track fault. Free bus is available at #Tampines.,pasir ris,EW1,tampines,EW2,EWL,NA
1986,4.71E+17,27/5/2014,[CCL]: Estimate 15 mins additional travelling time from #Caldecotttowards#HarbourFront due to power fault.,caldecott,CC17,harbourfront,NE1,CCL,NA
2012,4.62E+17,1/5/2014,"Due to a traction power fault, there will be no train service from Yio Chu Kang northbound towards Yishun northbound.",yishun,NS13,yio chu kang,NS15,NSL,NA
2029,4.59E+17,22/4/2014,[EWL]: Estimate 10 mins additional travelling time between #JooKoon and #BoonLay in both directions due to track fault.,boon lay,EW27,joo koon,EW29,EWL,NA
2046,4.54E+17,8/4/2014,[EWL]: Estimate 10 mins additional travelling time from #Lavender to #PayaLebar towards PasirRis due to train fault.,paya lebar,EW8,pasir ris,EW1,EWL,NA
2065,4.50E+17,30/3/2014,[CCL] UPDATE: Estimate 10 mins additional travelling time between #DhobyGhaut and #Mounbatten due to train fault.,dhoby ghaut,CC1,mountbatten,CC7,CCL,NA
2069,4.49E+17,27/3/2014,[NSL]: Estimate 10 mins additional travelling time from #YewTee to #JurongEast towards JurongEast due to train fault.,jurong east,NS1,yew tee,NS5,NSL,NA
2070,4.49E+17,27/3/2014,[NSL]: Estimate 10 mins additional travelling time from #ChoaChuKang to #JurongEast towards JurongEast due to train fault.,jurong east,NS1,choa chu kang,NS4,NSL,NA
2077,4.49E+17,25/3/2014,[EWL]: Estimate 10 mins additional travelling time between Outram Park and RafflesPlace on both bounds due to track fault at Tanjong Pagar.,tanjong pagar,EW15,outram park,EW16,EWL,NA
2085,4.48E+17,24/3/2014,[NSL]UPDATE:Estimate 10 mins additional travelling time from #Newton to #MarinaBay towards MarinaBay due to an earlier train fault.,marina bay,NS27,newton,NS21,NSL,NA
2086,4.48E+17,24/3/2014,[NSL]: Estimate 10 mins additional travelling time from #RafflesPlace to #MarinaBay towards MarinaBay due to train fault.,marina bay,NS27,raffles place,NS26,NSL,NA
2088,4.40E+17,3/3/2014,[EWL]: Emergency button is activated at Kallang. Expect delay from Kallang towards Joo Koon.,kallang,EW10,joo koon,EW29,EWL,NA
2093,4.40E+17,2/3/2014,[EWL]: Estimate 15 mins additional travelling time from #Bedok to #OutramPark towards JooKoon due to train fault.,joo koon,EW29,outram park,EW16,EWL,NA
2096,4.40E+17,2/3/2014,[EWL]: Estimate 20 mins additional travelling time between #TanahMerah and #ChangiAirport in both directions due to train fault.,changi airport,CG2,tanah merah,EW4,EWL,NA
2102,4.38E+17,25/2/2014,[NSL] UPDATE: Estimate 5 mins additional travel time from #AngMoKio towards #MarinaBay due to track fault.,marina bay,NS27,ang mo kio,NS16,NSL,NA
2108,4.38E+17,24/2/2014,[NSL]UPDATE: Estimate 10 mins additional travelling time from #JurongEast to #Kranji towards MarinaBay due to track fault.,jurong east,NS1,marina bay,NS27,NSL,NA
2111,4.38E+17,23/2/2014,[NSL]UPDATE: Estimate 20 mins additional travelling time from #JurongEast to #Kranji towards MarinaBay due to track fault.,jurong east,NS1,marina bay,NS27,NSL,NA
2112,4.38E+17,23/2/2014,[NSL]: Estimate 10 mins additional travelling time from #ChoaChuKang to #Kranji towards MarinaBay due to track fault.,marina bay,NS27,choa chu kang,NS4,NSL,NA
2114,4.29E+17,29/1/2014,[NSL]: Estimate 10 mins additional traveling time between #AngMoKio and #MarinaBay in both directions due to track fault.,marina bay,NS27,ang mo kio,NS16,NSL,NA
2117,4.28E+17,29/1/2014,[EWL]: Estimate 10 mins additional travelling time between #BoonLay and #JooKoon in both directions due to train fault.,boon lay,EW27,joo koon,EW29,EWL,NA
2122,4.26E+17,22/1/2014,[EWL] No train service between #Tampines and #TanahMerah due to a track fault. Our engineers are at site rectifying the fault now.,tampines,EW2,tanah merah,EW4,EWL,NA
2127,4.25E+17,20/1/2014,[NSL] UPDATE: Svcs at Yio Chu Kang Station have resumed.  Please provision additional 10mins of travel time from Ang Mo Kio to Marina Bay.,marina bay,NS27,yio chu kang,NS15,NSL,NA
2130,4.25E+17,20/1/2014,[NSL]: Estimate 20 mins additional travelling time from #Sembawang to #MarinaBay towards MarinaBay due to train fault.,marina bay,NS27,sembawang,NS11,NSL,NA
2133,4.24E+17,16/1/2014,[EWL]: Estimate 5 mins additional travelling time from #Kallang to #Aljunied towards PasirRis due to track fault.,pasir ris,EW1,kallang,EW10,EWL,NA
2140,4.22E+17,11/1/2014,[NSL]: No train service between #YewTee and #Woodlands in both directions due to power fault.  Free bus service are available.,yew tee,NS5,woodlands,NS9,NSL,NA
2141,4.22E+17,11/1/2014,[NSL]:  Train services between #Kranji and #YewTee will be delayed for 20 minutes due to a traction power fault.,yew tee,NS5,kranji,NS7,NSL,NA
2143,4.19E+17,2/1/2014,[NSL]: Estimate 10 mins additional travelling time from #YioChuKang to #Bishan towards MarinaBay due to a traction power fault.,marina bay,NS27,yio chu kang,NS15,NSL,NA
2148,4.13E+17,18/12/2013,[EWL]: Estimate 10 mins additional travelling time from #JurongEast to #OutramPark towards #PasirRis due to train fault.,jurong east,NS1,outram park,EW16,EWL,NA
2150,3.96E+17,1/11/2013,[EWL]: Estimate 10 mins additional travelling time from #BoonLay to #JooKoon towards JooKoon due to track fault.,boon lay,EW27,joo koon,EW29,EWL,NA
2157,3.94E+17,26/10/2013,[CCL] Expect longer travel time (~10min) between #LabradorPark &amp; #HarbourFront stations due to power cable change. http://t.co/M6xQuxGQ4P,harbourfront,NE1,labrador park,CC27,CCL,NA
2160,3.94E+17,25/10/2013,"[CCL]On 27 Oct,6-10am, travel time between #LabradorPark &amp; #HarbourFront will be longer due to power cable change. http://t.co/M6xQuxGQ4P",harbourfront,NE1,labrador park,CC27,CCL,NA
2161,3.93E+17,24/10/2013,"[CCL] On 27 Oct, 6-10am, travel time between #LabradorPark &amp; #HarbourFront will be longer due to power cable change. http://t.co/M6xQuxGQ4P",harbourfront,NE1,labrador park,CC27,CCL,NA
2162,3.93E+17,23/10/2013,"[CCL] On 27 Oct, 6-10am, travel time between #LabradorPark &amp; #HarbourFront will be longer due to power cable change. http://t.co/M6xQuxGQ4P",harbourfront,NE1,labrador park,CC27,CCL,NA
2163,3.93E+17,22/10/2013,"[CCL] On 27 Oct, 6-10am, travel time between #LabradorPark &amp; #HarbourFront will be longer due to power cable change. http://t.co/M6xQuxGQ4P",harbourfront,NE1,labrador park,CC27,CCL,NA
2164,3.92E+17,21/10/2013,"[CCL] On 27 Oct, 6-10am, travel time between #LabradorPark &amp; #HarbourFront will be longer due to power cable change. http://t.co/M6xQuxGQ4P",harbourfront,NE1,labrador park,CC27,CCL,NA
2174,3.88E+17,9/10/2013,[EWL]: Estimate 30 mins additional travelling time between #BoonLay and #JooKoon in both directions due to track fault.,boon lay,EW27,joo koon,EW29,EWL,NA
2176,3.87E+17,5/10/2013,[EWL]: Estimate 20 mins additional travelling time from #JurongEast to #Queenstown towards PasirRis due to train fault.,jurong east,NS1,pasir ris,EW1,EWL,NA
2178,3.86E+17,3/10/2013,[NSL]: Estimate 20 mins additional travelling time between #Yishun and #Woodlands due to train fault.,yishun,NS13,woodlands,NS9,NSL,NA
2182,3.84E+17,28/9/2013,[NSL]: Estimate 15 mins additional travelling time between #Woodlands and #AngMoKio due to train fault.,ang mo kio,NS16,woodlands,NS9,NSL,NA
2184,3.82E+17,24/9/2013,[NSL]: Estimate 20 mins additional travelling time from #DhobyGhaut to #MarinaBay towards MarinaBay due to train fault.,marina bay,NS27,dhoby ghaut,NS24,NSL,NA
2188,3.80E+17,18/9/2013,[NSL] UPDATE: No train service between #RafflesPlace and #MarinaBay on both bounds due to track fault. Estimate resuming time is 1540 hrs.,marina bay,NS27,raffles place,NS26,NSL,NA
2196,3.71E+17,24/8/2013,[EWL] UPDATE: Estimate 20 mins additional travel time between #Tampines and #PasirRis. We are working to recover service.,pasir ris,EW1,tampines,EW2,EWL,NA
2199,3.68E+17,14/8/2013,[EWL] UPDATE: Estimate 15 mins additional travel time from #TiongBahru towards #JooKoon due to train fault.,tiong bahru,EW17,joo koon,EW29,EWL,NA
2200,3.68E+17,14/8/2013,[EWL]: Estimate 15 mins additional travelling time from #TiongBahru to #Queenstown towards JooKoon due to train fault.,tiong bahru,EW17,queenstown,EW19,EWL,NA
2203,3.67E+17,14/8/2013,[CCL]: Estimate 5 mins additional travelling time from #BotanicGardens to #Caldecott towards DhobyGhaut due to track fault.,caldecott,CC17,dhoby ghaut,NS24,CCL,NA
2204,3.67E+17,14/8/2013,[NSL]: Estimate 20 mins additional travelling time from #Yishun to #Woodlands towards JurongEast due to train fault.,jurong east,NS1,yishun,NS13,NSL,NA
2206,3.64E+17,5/8/2013,[BPLRT]: Estimate 20 mins service delay from #Phoenix to #BukitPanjang due to power fault.,phoenix,BP5,bukit panjang,DT1,BPL,NA
2208,3.64E+17,3/8/2013,[EWL]: Estimate 10 mins additional travelling time between #Expo and #ChangiAirport in both directions due to track fault.,expo,CG1,changi airport,CG2,EWL,NA
2211,3.61E+17,27/7/2013,[CCL]UPDATE:Due to a track fault at CCL.Passengers travelling to #HarbourFront from#DhobyGhaut are advised to transfer at #Promenade.,promenade,CC4,harbourfront,NE1,CCL,NA
2212,3.61E+17,27/7/2013,[CCL]: Estimate 10 mins additional travelling time between #DhobyGhaut and #Promenade due to track fault.,promenade,CC4,dhoby ghaut,NS24,CCL,NA
2217,3.53E+17,4/7/2013,[CCL]:Estimate 20 mins delay for CCL train service due to communication equipment failure.,dhoby ghaut,CC1,harbourfront,CC29,CCL,NA
2220,3.53E+17,3/7/2013,[BPLRT] UPDATE: Estimate 10 mins additional travelling time for BPLRT train service due to track fault. Free bus services are available.,choa chu kang,BP1,fajar,BP10,BPL,NA
2225,3.50E+17,25/6/2013,[EWL]: Estimated 25 mins additional travelling time from #Kembangan to #Bedok towards PasirRis due to train fault.,pasir ris,EW1,bedok,EW5,EWL,NA
